Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
80000,63,71930,812,81.2,8070,71930
100000,63,89848,878,87.8,10152,89848
2,64,2,1,0.1,0,2
3,64,3,2,0.2,0,3
100,64,87,45,4.5,13,87
200,64,173,87,8.7,27,173
2000,64,1746,230,23.0,254,1746
10000,64,8963,686,68.6,1037,8963
20000,64,17942,551,55.1,2058,17942
40000,64,35900,551,55.1,4100,35900
60000,64,54054,959,95.9,5946,54054
80000,64,71846,801,80.1,8154,71846
100000,64,89897,1021,102.1,10103,89897
2,65,2,1,0.1,0,2
3,65,2,1,0.1,1,2
100,65,83,45,4.5,17,83
200,65,175,83,8.3,25,175
2000,65,1755,324,32.4,245,1755
10000,65,8981,497,49.7,1019,8981
20000,65,17899,723,72.3,2101,17899
40000,65,35786,908,90.8,4214,35786
60000,65,53883,974,97.4,6117,53883
80000,65,71923,1039,103.9,8077,71923
100000,65,89772,873,87.3,10228,89772
2,66,2,1,0.1,0,2
3,66,3,2,0.2,0,3
100,66,87,48,4.8,13,87
200,66,171,76,7.6,29,171
2000,66,1771,370,37.0,229,1771
10000,66,8903,632,63.2,1097,8903
20000,66,17944,750,75.0,2056,17944
40000,66,35910,811,81.1,4090,35910
60000,66,54067,591,59.1,5933,54067
80000,66,71854,969,96.9,8146,71854
100000,66,89948,830,83.0,10052,89948
2,67,2,1,0.1,0,2
3,67,2,2,0.2,1,2
100,67,77,50,5.0,23,77
200,67,169,77,7.7,31,169
2000,67,1779,396,39.6,221,1779
10000,67,8846,632,63.2,1154,8846
20000,67,17902,847,84.7,2098,17902
40000,67,35951,860,86.0,4049,35951
60000,67,53795,857,85.7,6205,53795
80000,67,71878,819,81.9,8122,71878
100000,67,89933,885,88.5,10067,89933
2,68,2,1,0.1,0,2
3,68,2,2,0.2,1,2
100,68,87,47,4.7,13,87
200,68,171,95,9.5,29,171
2000,68,1743,400,40.0,257,1743
10000,68,8954,593,59.3,1046,8954
20000,68,17987,815,81.5,2013,17987
