Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
60000,6,29833,26019,130.09,30167,29833
80000,6,40169,9456,47.28,39831,40169
100000,6,49761,22385,111.92,50239,49761
2,7,2,1,0.01,0,2
3,7,2,1,0.01,1,2
100,7,52,91,0.46,48,52
200,7,95,67,0.34,105,95
2000,7,988,964,4.82,1012,988
10000,7,4807,6851,34.25,5193,4807
20000,7,10008,4886,24.43,9992,10008
40000,7,19909,13729,68.65,20091,19909
60000,7,29776,38479,192.39,30224,29776
80000,7,39979,7496,37.48,40021,39979
100000,7,49932,23149,115.74,50068,49932
2,8,0,1,0.01,2,0
3,8,2,1,0.01,1,2
100,8,53,9,0.05,47,53
200,8,98,101,0.51,102,98
2000,8,992,524,2.62,1008,992
10000,8,4917,5651,28.25,5083,4917
20000,8,10130,13214,66.07,9870,10130
40000,8,19888,14970,74.85,20112,19888
60000,8,29989,14562,72.81,30011,29989
80000,8,39881,13548,67.74,40119,39881
100000,8,49895,38999,194.99,50105,49895
2,9,1,1,0.01,1,1
3,9,2,1,0.01,1,2
100,9,51,68,0.34,49,51
200,9,92,8,0.04,108,92
2000,9,985,673,3.36,1015,985
10000,9,4888,4358,21.79,5112,4888
20000,9,9844,8611,43.06,10156,9844
40000,9,19901,16709,83.54,20099,19901
60000,9,30030,18539,92.69,29970,30030
80000,9,39969,24078,120.39,40031,39969
100000,9,49954,15998,79.99,50046,49954
2,10,1,1,0.01,1,1
3,10,2,1,0.01,1,2
100,10,45,95,0.48,55,45
200,10,94,23,0.12,106,94
2000,10,1003,666,3.33,997,1003
10000,10,5029,4232,21.16,4971,5029
20000,10,9905,8321,41.61,10095,9905
40000,10,20020,14634,73.17,19980,20020
60000,10,30101,4719,23.59,29899,30101
80000,10,39836,34484,172.42,40164,39836
100000,10,49955,23233,116.16,50045,49955
2,11,2,1,0.01,0,2
3,11,1,1,0.01,2,1
100,11,46,56,0.28,54,46
200,11,97,102,0.51,103,97
2000,11,952,1894,9.47,1048,952
10000,11,4930,2571,12.86,5070,4930
20000,11,9962,7492,37.46,10038,9962
40000,11,19952,9761,48.81,20048,19952
60000,11,29946,21948,109.74,30054,29946
80000,11,40021,13709,68.55,39979,40021
100000,11,49993,24409,122.04,50007,49993
2,12,1,1,0.01,1,1
3,12,2,1,0.01,1,2
100,12,40,83,0.42,60,40
200,12,97,82,0.41,103,97
2000,12,1008,980,4.9,992,1008
10000,12,4924,8120,40.6,5076,4924
20000,12,9980,5792,28.96,10020,9980
40000,12,19922,24134,120.67,20078,19922
60000,12,30061,21320,106.6,29939,30061
80000,12,39851,17964,89.82,40149,39851
100000,12,49868,52258,261.29,50132,49868
2,13,1,1,0.01,1,1
3,13,2,2,0.01,1,2
100,13,63,22,0.11,37,63
200,13,82,10,0.05,118,82
2000,13,1020,366,1.83,980,1020
10000,13,5050,1538,7.69,4950,5050
20000,13,9890,13098,65.49,10110,9890
40000,13,19985,7275,36.38,20015,19985
60000,13,29873,12539,62.7,30127,29873
80000,13,39989,59707,298.53,40011,39989
100000,13,49769,38715,193.57,50231,49769
2,14,1,1,0.01,1,1
3,14,0,1,0.01,3,0
100,14,54,48,0.24,46,54
200,14,87,71,0.36,113,87
2000,14,991,506,2.53,1009,991
10000,14,4932,1272,6.36,5068,4932
20000,14,9997,8755,43.78,10003,9997
40000,14,19784,16049,80.24,20216,19784
60000,14,29820,25707,128.53,30180,29820
80000,14,39685,31931,159.65,40315,39685
100000,14,49751,42472,212.36,50249,49751
2,15,0,1,0.01,2,0
3,15,2,2,0.01,1,2
100,15,41,38,0.19,59,41
200,15,103,192,0.96,97,103
2000,15,970,797,3.98,1030,970
10000,15,4926,4879,24.39,5074,4926
20000,15,9918,10756,53.78,10082,9918
