Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
10000,50,8980,0,0,1020,8980
20000,50,18041,0,0,1959,18041
40000,50,35985,0,0,4015,35985
60000,50,53952,0,0,6048,53952
80000,50,72191,0,0,7809,72191
100000,50,90007,0,0,9993,90007
2,51,2,0,0,0,2
3,51,3,0,0,0,3
100,51,91,0,0,9,91
200,51,183,0,0,17,183
2000,51,1805,0,0,195,1805
10000,51,9008,0,0,992,9008
20000,51,18002,0,0,1998,18002
40000,51,35895,0,0,4105,35895
60000,51,54038,0,0,5962,54038
80000,51,72051,0,0,7949,72051
100000,51,90042,0,0,9958,90042
2,52,1,0,0,1,1
3,52,2,0,0,1,2
100,52,93,0,0,7,93
200,52,180,0,0,20,180
2000,52,1784,0,0,216,1784
10000,52,8940,0,0,1060,8940
20000,52,18006,0,0,1994,18006
40000,52,36005,0,0,3995,36005
60000,52,53938,0,0,6062,53938
80000,52,72028,0,0,7972,72028
100000,52,90046,0,0,9954,90046
2,53,2,0,0,0,2
3,53,3,0,0,0,3
100,53,93,0,0,7,93
200,53,181,0,0,19,181
2000,53,1787,0,0,213,1787
10000,53,8996,0,0,1004,8996
20000,53,17965,0,0,2035,17965
40000,53,36020,0,0,3980,36020
60000,53,53954,0,0,6046,53954
80000,53,71942,0,0,8058,71942
100000,53,89850,0,0,10150,89850
2,54,2,0,0,0,2
3,54,3,0,0,0,3
100,54,90,0,0,10,90
200,54,181,0,0,19,181
2000,54,1816,0,0,184,1816
10000,54,8975,0,0,1025,8975
20000,54,18060,0,0,1940,18060
40000,54,36019,0,0,3981,36019
60000,54,53945,0,0,6055,53945
80000,54,72073,0,0,7927,72073
100000,54,89990,0,0,10010,89990
2,55,2,0,0,0,2
3,55,3,0,0,0,3
100,55,86,0,0,14,86
200,55,182,0,0,18,182
2000,55,1797,0,0,203,1797
10000,55,9021,0,0,979,9021
20000,55,17998,0,0,2002,17998
40000,55,35942,0,0,4058,35942
60000,55,54064,0,0,5936,54064
80000,55,72071,0,0,7929,72071
100000,55,89973,0,0,10027,89973
2,56,0,0,0,2,0
3,56,3,0,0,0,3
100,56,90,0,0,10,90
200,56,183,0,0,17,183
2000,56,1784,0,0,216,1784
10000,56,8908,0,0,1092,8908
20000,56,18028,0,0,1972,18028
40000,56,36058,0,0,3942,36058
60000,56,54007,0,0,5993,54007
80000,56,72092,0,0,7908,72092
100000,56,89945,0,0,10055,89945
2,57,2,0,0,0,2
3,57,3,0,0,0,3
100,57,88,0,0,12,88
200,57,176,0,0,24,176
2000,57,1795,0,0,205,1795
10000,57,9005,0,0,995,9005
20000,57,17944,0,0,2056,17944
40000,57,36047,0,0,3953,36047
60000,57,54164,0,0,5836,54164
80000,57,72239,0,0,7761,72239
100000,57,90038,0,0,9962,90038
2,58,2,0,0,0,2
3,58,3,0,0,0,3
100,58,89,0,0,11,89
200,58,175,0,0,25,175
2000,58,1793,0,0,207,1793
10000,58,9013,0,0,987,9013
20000,58,18016,0,0,1984,18016
40000,58,35927,0,0,4073,35927
60000,58,53870,0,0,6130,53870
80000,58,71901,0,0,8099,71901
100000,58,90243,0,0,9757,90243
2,59,2,0,0,0,2
3,59,2,0,0,1,2
100,59,88,0,0,12,88
200,59,176,0,0,24,176
2000,59,1827,0,0,173,1827
10000,59,9006,0,0,994,9006
20000,59,18003,0,0,1997,18003
40000,59,35944,0,0,4056,35944
60000,59,54073,0,0,5927,54073
80000,59,72011,0,0,7989,72011
100000,59,90021,0,0,9979,90021
2,60,2,0,0,0,2
3,60,3,0,0,0,3
100,60,93,0,0,7,93
200,60,179,0,0,21,179
2000,60,1786,0,0,214,1786
10000,60,9002,0,0,998,9002
20000,60,17990,0,0,2010,17990
40000,60,35909,0,0,4091,35909
60000,60,54031,0,0,5969,54031
80000,60,71944,0,0,8056,71944
100000,60,89958,0,0,10042,89958
