Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
200,65,106,140,0.7,94,106
2000,65,986,271,1.35,1014,986
10000,65,5085,2415,12.08,4915,5085
20000,65,9885,16222,81.11,10115,9885
40000,65,19922,3298,16.49,20078,19922
60000,65,29905,15954,79.77,30095,29905
80000,65,39710,44391,221.95,40290,39710
100000,65,49844,38673,193.36,50156,49844
2,66,0,1,0.01,2,0
3,66,2,1,0.01,1,2
100,66,53,3,0.02,47,53
200,66,98,169,0.85,102,98
2000,66,998,1949,9.75,1002,998
10000,66,4987,6769,33.84,5013,4987
20000,66,9951,5282,26.41,10049,9951
40000,66,19931,8555,42.78,20069,19931
60000,66,29962,16990,84.95,30038,29962
80000,66,39743,16546,82.73,40257,39743
100000,66,50301,11196,55.98,49699,50301
