Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
20000,42,34057,20000,2000.0,5944,34057
40000,42,67852,40000,4000.0,12149,67852
60000,42,101870,60000,6000.0,18131,101870
80000,42,135925,80000,8000.0,24076,135925
100000,42,170042,100000,10000.0,29959,170042
2,43,3,2,0.2,2,3
3,43,6,3,0.3,1,6
100,43,177,100,10.0,24,177
200,43,340,200,20.0,61,340
2000,43,3368,2000,200.0,633,3368
10000,43,16942,10000,1000.0,3059,16942
20000,43,33893,20000,2000.0,6108,33893
40000,43,67853,40000,4000.0,12148,67853
60000,43,101921,60000,6000.0,18080,101921
80000,43,135843,80000,8000.0,24158,135843
100000,43,169886,100000,10000.0,30115,169886
2,44,4,2,0.2,1,4
3,44,4,4,0.4,3,4
100,44,177,100,10.0,24,177
200,44,346,200,20.0,55,346
2000,44,3387,2000,200.0,614,3387
10000,44,17039,10000,1000.0,2962,17039
20000,44,33979,20000,2000.0,6022,33979
40000,44,68166,40000,4000.0,11835,68166
60000,44,101842,60000,6000.0,18159,101842
80000,44,135996,80000,8000.0,24005,135996
100000,44,169955,100000,10000.0,30046,169955
2,45,5,3,0.3,0,5
3,45,6,3,0.3,1,6
100,45,169,100,10.0,32,169
200,45,338,200,20.0,63,338
2000,45,3376,2000,200.0,625,3376
10000,45,17033,10000,1000.0,2968,17033
20000,45,33988,20000,2000.0,6013,33988
40000,45,68008,40000,4000.0,11993,68008
60000,45,102074,60000,6000.0,17927,102074
80000,45,136042,80000,8000.0,23959,136042
100000,45,169930,100000,10000.0,30071,169930
2,46,5,3,0.3,0,5
3,46,4,3,0.3,3,4
100,46,182,100,10.0,19,182
200,46,341,200,20.0,60,341
2000,46,3442,2000,200.0,559,3442
10000,46,17085,10000,1000.0,2916,17085
20000,46,33954,20000,2000.0,6047,33954
40000,46,67952,40000,4000.0,12049,67952
60000,46,102170,60000,6000.0,17831,102170
80000,46,135841,80000,8000.0,24160,135841
100000,46,170098,100000,10000.0,29903,170098
2,47,4,2,0.2,1,4
3,47,5,4,0.4,2,5
100,47,175,100,10.0,26,175
200,47,346,200,20.0,55,346
2000,47,3391,2000,200.0,610,3391
10000,47,17031,10000,1000.0,2970,17031
20000,47,34017,20000,2000.0,5984,34017
40000,47,67961,40000,4000.0,12040,67961
60000,47,101925,60000,6000.0,18076,101925
80000,47,135914,80000,8000.0,24087,135914
100000,47,170041,100000,10000.0,29960,170041
2,48,4,3,0.3,1,4
3,48,6,4,0.4,1,6
100,48,168,100,10.0,33,168
200,48,343,200,20.0,58,343
2000,48,3402,2000,200.0,599,3402
10000,48,17020,10000,1000.0,2981,17020
20000,48,33979,20000,2000.0,6022,33979
40000,48,68109,40000,4000.0,11892,68109
60000,48,102107,60000,6000.0,17894,102107
80000,48,136032,80000,8000.0,23969,136032
100000,48,169932,100000,10000.0,30069,169932
2,49,5,3,0.3,0,5
3,49,5,4,0.4,2,5
100,49,169,100,10.0,32,169
200,49,335,200,20.0,66,335
2000,49,3408,2000,200.0,593,3408
