Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
100,54,90,47,0.24,10,90
200,54,181,112,0.56,19,181
2000,54,1778,1150,5.75,222,1778
10000,54,8955,4816,24.08,1045,8955
20000,54,17997,5629,28.14,2003,17997
40000,54,35911,17636,88.18,4089,35911
60000,54,53981,21262,106.31,6019,53981
80000,54,71899,21611,108.05,8101,71899
100000,54,89846,21142,105.71,10154,89846
2,55,2,1,0.01,0,2
3,55,3,1,0.01,0,3
100,55,87,49,0.25,13,87
200,55,181,95,0.48,19,181
2000,55,1817,1071,5.35,183,1817
10000,55,9018,4525,22.62,982,9018
20000,55,17912,7591,37.96,2088,17912
40000,55,36000,16111,80.55,4000,36000
60000,55,53956,10888,54.44,6044,53956
80000,55,71850,30628,153.14,8150,71850
100000,55,89986,19144,95.72,10014,89986
2,56,2,1,0.01,0,2
3,56,3,1,0.01,0,3
100,56,91,52,0.26,9,91
200,56,187,99,0.5,13,187
2000,56,1816,1019,5.09,184,1816
10000,56,8913,5075,25.37,1087,8913
20000,56,17956,5753,28.76,2044,17956
40000,56,35981,14333,71.67,4019,35981
60000,56,54029,8618,43.09,5971,54029
80000,56,71835,11116,55.58,8165,71835
100000,56,90095,14930,74.65,9905,90095
2,57,2,1,0.01,0,2
3,57,3,1,0.01,0,3
100,57,91,48,0.24,9,91
200,57,177,98,0.49,23,177
2000,57,1795,725,3.62,205,1795
10000,57,8975,3515,17.58,1025,8975
20000,57,18004,9063,45.32,1996,18004
40000,57,35975,15517,77.59,4025,35975
60000,57,53958,16185,80.92,6042,53958
80000,57,71884,35479,177.39,8116,71884
100000,57,89735,37858,189.29,10265,89735
2,58,2,1,0.01,0,2
3,58,2,1,0.01,1,2
100,58,93,49,0.25,7,93
200,58,182,100,0.5,18,182
2000,58,1786,1105,5.52,214,1786
10000,58,9019,3526,17.63,981,9019
20000,58,17903,7229,36.15,2097,17903
40000,58,35975,10299,51.5,4025,35975
60000,58,53707,27674,138.37,6293,53707
80000,58,71822,39287,196.43,8178,71822
100000,58,89947,21098,105.49,10053,89947
2,59,2,1,0.01,0,2
3,59,3,1,0.01,0,3
100,59,90,50,0.25,10,90
200,59,178,92,0.46,22,178
2000,59,1794,778,3.89,206,1794
10000,59,8969,2653,13.27,1031,8969
20000,59,17941,7803,39.02,2059,17941
40000,59,35994,9958,49.79,4006,35994
60000,59,54015,10245,51.23,5985,54015
80000,59,71954,15296,76.48,8046,71954
100000,59,90095,21893,109.46,9905,90095
2,60,2,1,0.01,0,2
3,60,3,1,0.01,0,3
100,60,88,53,0.27,12,88
200,60,178,96,0.48,22,178
2000,60,1779,1276,6.38,221,1779
10000,60,8956,3395,16.98,1044,8956
20000,60,17920,4626,23.13,2080,17920
40000,60,35781,12479,62.4,4219,35781
60000,60,53921,21162,105.81,6079,53921
80000,60,71924,30067,150.33,8076,71924
100000,60,89939,20587,102.93,10061,89939
2,61,2,1,0.01,0,2
3,61,2,1,0.01,1,2
100,61,94,49,0.25,6,94
200,61,182,90,0.45,18,182
2000,61,1785,995,4.97,215,1785
10000,61,8961,4308,21.54,1039,8961
20000,61,18006,6568,32.84,1994,18006
40000,61,35943,7364,36.82,4057,35943
60000,61,53775,26636,133.18,6225,53775
80000,61,71809,21445,107.22,8191,71809
100000,61,89839,40910,204.55,10161,89839
2,62,2,1,0.01,0,2
3,62,3,1,0.01,0,3
100,62,89,49,0.25,11,89
200,62,177,94,0.47,23,177
2000,62,1807,854,4.27,193,1807
10000,62,8952,3916,19.58,1048,8952
20000,62,17876,8288,41.44,2124,17876
40000,62,35978,8941,44.71,4022,35978
60000,62,53971,11179,55.9,6029,53971
80000,62,71856,31455,157.27,8144,71856
100000,62,89867,15663,78.32,10133,89867
2,63,2,1,0.01,0,2
3,63,2,1,0.01,1,2
100,63,90,50,0.25,10,90
200,63,187,101,0.51,13,187
2000,63,1818,1010,5.05,182,1818
10000,63,8900,3928,19.64,1100,8900
20000,63,17928,13464,67.32,2072,17928
40000,63,35875,10555,52.78,4125,35875
60000,63,53920,12019,60.1,6080,53920
80000,63,71995,26619,133.09,8005,71995
100000,63,89984,21816,109.08,10016,89984
2,64,2,1,0.01,0,2
3,64,3,1,0.01,0,3
100,64,87,46,0.23,13,87
200,64,175,93,0.47,25,175
2000,64,1778,860,4.3,222,1778
10000,64,8996,5409,27.04,1004,8996
20000,64,17871,7436,37.18,2129,17871
40000,64,35816,10794,53.97,4184,35816
60000,64,53746,24224,121.12,6254,53746
80000,64,71991,12928,64.64,8009,71991
100000,64,89853,20144,100.72,10147,89853
2,65,2,1,0.01,0,2
3,65,3,1,0.01,0,3
100,65,90,51,0.26,10,90
200,65,177,111,0.56,23,177
2000,65,1800,958,4.79,200,1800
10000,65,8994,2947,14.74,1006,8994
20000,65,18070,7659,38.3,1930,18070
40000,65,35921,21081,105.4,4079,35921
60000,65,54010,15483,77.42,5990,54010
80000,65,71878,18280,91.4,8122,71878
100000,65,89865,22619,113.09,10135,89865
2,66,2,1,0.01,0,2
3,66,2,1,0.01,1,2
100,66,89,51,0.26,11,89
200,66,177,102,0.51,23,177
2000,66,1802,1119,5.59,198,1802
10000,66,9005,4246,21.23,995,9005
20000,66,17964,8766,43.83,2036,17964
40000,66,35957,14147,70.74,4043,35957
60000,66,53918,17831,89.15,6082,53918
