Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
80000,53,64025,80000,8000.0,15975,64025
100000,53,80013,100000,10000.0,19987,80013
2,54,1,2,0.2,1,1
3,54,3,3,0.3,0,3
100,54,76,100,10.0,24,76
200,54,148,200,20.0,52,148
2000,54,1631,2000,200.0,369,1631
10000,54,7982,10000,1000.0,2018,7982
20000,54,15958,20000,2000.0,4042,15958
40000,54,31991,40000,4000.0,8009,31991
60000,54,48043,60000,6000.0,11957,48043
80000,54,64058,80000,8000.0,15942,64058
100000,54,79940,100000,10000.0,20060,79940
2,55,2,2,0.2,0,2
3,55,2,3,0.3,1,2
100,55,82,100,10.0,18,82
200,55,160,200,20.0,40,160
2000,55,1607,2000,200.0,393,1607
10000,55,7957,10000,1000.0,2043,7957
20000,55,16040,20000,2000.0,3960,16040
40000,55,31966,40000,4000.0,8034,31966
60000,55,47953,60000,6000.0,12047,47953
80000,55,63968,80000,8000.0,16032,63968
100000,55,79951,100000,10000.0,20049,79951
2,56,1,2,0.2,1,1
3,56,2,3,0.3,1,2
100,56,76,100,10.0,24,76
200,56,157,200,20.0,43,157
2000,56,1608,2000,200.0,392,1608
10000,56,7990,10000,1000.0,2010,7990
20000,56,16004,20000,2000.0,3996,16004
40000,56,32061,40000,4000.0,7939,32061
60000,56,48156,60000,6000.0,11844,48156
80000,56,64026,80000,8000.0,15974,64026
100000,56,80133,100000,10000.0,19867,80133
2,57,2,2,0.2,0,2
3,57,2,3,0.3,1,2
100,57,79,100,10.0,21,79
200,57,158,200,20.0,42,158
2000,57,1579,2000,200.0,421,1579
10000,57,7975,10000,1000.0,2025,7975
20000,57,16002,20000,2000.0,3998,16002
40000,57,31830,40000,4000.0,8170,31830
60000,57,48104,60000,6000.0,11896,48104
80000,57,64025,80000,8000.0,15975,64025
100000,57,79990,100000,10000.0,20010,79990
2,58,1,2,0.2,1,1
3,58,2,3,0.3,1,2
100,58,79,100,10.0,21,79
200,58,165,200,20.0,35,165
2000,58,1593,2000,200.0,407,1593
10000,58,7958,10000,1000.0,2042,7958
20000,58,15966,20000,2000.0,4034,15966
40000,58,32187,40000,4000.0,7813,32187
60000,58,48104,60000,6000.0,11896,48104
80000,58,64037,80000,8000.0,15963,64037
100000,58,80047,100000,10000.0,19953,80047
2,59,1,2,0.2,1,1
3,59,2,3,0.3,1,2
100,59,77,100,10.0,23,77
200,59,154,200,20.0,46,154
2000,59,1598,2000,200.0,402,1598
10000,59,8073,10000,1000.0,1927,8073
20000,59,16043,20000,2000.0,3957,16043
40000,59,31973,40000,4000.0,8027,31973
60000,59,48094,60000,6000.0,11906,48094
80000,59,63871,80000,8000.0,16129,63871
100000,59,80262,100000,10000.0,19738,80262
2,60,2,2,0.2,0,2
3,60,3,3,0.3,0,3
100,60,81,100,10.0,19,81
200,60,151,200,20.0,49,151
2000,60,1588,2000,200.0,412,1588
10000,60,7983,10000,1000.0,2017,7983
20000,60,16050,20000,2000.0,3950,16050
40000,60,32096,40000,4000.0,7904,32096
60000,60,48025,60000,6000.0,11975,48025
80000,60,63958,80000,8000.0,16042,63958
100000,60,80223,100000,10000.0,19777,80223
2,61,1,2,0.2,1,1
3,61,2,3,0.3,1,2
100,61,73,100,10.0,27,73
200,61,163,200,20.0,37,163
2000,61,1584,2000,200.0,416,1584
10000,61,8028,10000,1000.0,1972,8028
20000,61,15948,20000,2000.0,4052,15948
